"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotBathrooms","Remod","Age"
"222","2 story 1946+","RL",66,8068,1,"None",2,"Lvl","Inside",2,"Gilbert","Norm","Norm","1Fam","2Story",6,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,1,0,1,0,1010,"GasA",5,1,"SBrkr",1010,1257,0,2267,0,0,2,1,4,1,4,8,7,1,3,"BuiltIn",2,2,3,3,2,120,46,0,0,0,0,0,"None","None",0,"12","2009","ConLI","Normal",12.2060726455302,2.5,0,-1998
"224","1 story 1946+","RL",70,10500,1,"None",3,"Lvl","FR2",2,"NAmes","Norm","Norm","1Fam","1Story",4,6,1971,1971,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,1,5,524,2,180,160,"GasA",4,1,"SBrkr",864,0,0,864,0,0,1,0,2,1,3,4,7,0,0,"Detchd",1,2,3,3,2,216,0,0,0,0,0,0,"None","None",0,"3","2009","WD","Abnorml",11.4824662574855,1,0,-1967
"225","1 story 1946+","RL",103,13472,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","1Story",10,5,2003,2003,"Hip","CompShg","VinylSd","VinylSd","BrkFace",922,5,3,"PConc",5,3,4,6,56,1,0,2336,"GasA",5,1,"SBrkr",2392,0,0,2392,0,0,2,0,3,1,5,8,7,1,5,"Attchd",3,3,3,3,2,248,105,0,0,0,0,0,"None","None",0,"6","2009","WD","Normal",12.8642401071941,2,0,-1999
"226","2 story PUD 1946+","RM",21,1680,1,"None",3,"Lvl","Inside",2,"BrDale","Norm","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",142,3,3,"CBlock",3,3,1,1,0,1,0,630,"GasA",3,1,"SBrkr",630,672,0,1302,0,0,2,1,3,1,3,6,7,0,0,"Detchd",1,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,"5","2009","COD","Abnorml",11.6262541502772,2.5,0,-1967
"227","2 story 1946+","RL",82,9950,1,"None",2,"Lvl","Inside",2,"NoRidge","Norm","Norm","1Fam","2Story",7,5,1995,1995,"Gable","CompShg","VinylSd","VinylSd","BrkFace",290,4,3,"PConc",4,3,1,6,565,1,0,638,"GasA",5,1,"SBrkr",1214,1306,0,2520,0,0,2,1,4,1,4,9,7,1,3,"Attchd",2,3,3,3,2,224,114,0,0,0,0,0,"None","None",0,"6","2007","WD","Abnorml",12.5776362019627,2.5,0,-1993
"229","1 story 1946+","RL",70,8521,1,"None",3,"Lvl","FR2",2,"Sawyer","Feedr","Norm","1Fam","1Story",5,5,1967,1967,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,1,5,842,1,0,70,"GasA",3,1,"SBrkr",912,0,0,912,0,0,1,0,3,1,3,5,7,1,2,"Detchd",1,1,3,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,"5","2010","WD","Normal",11.7360690162844,1,0,-1962
"230","1 story PUD 1946+","RL",43,3182,1,"None",3,"Lvl","Inside",2,"Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,4,3,"PConc",4,3,3,6,16,1,0,1357,"GasA",5,1,"SBrkr",1555,0,0,1555,0,0,2,0,2,1,4,7,7,1,3,"Attchd",3,2,3,3,2,143,20,0,0,0,0,0,"None","None",0,"5","2009","WD","Normal",12.16785143271,2,1,-2002
"231","1 story 1946+","RL",73,8760,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",6,6,1959,1959,"Hip","CompShg","MetalSd","MetalSd","BrkFace",220,3,3,"CBlock",3,3,1,1,0,1,0,1194,"GasA",3,1,"SBrkr",1194,0,0,1194,1,0,1,0,3,1,3,6,7,0,0,"Attchd",2,1,3,3,2,0,0,120,0,0,0,0,"None","None",0,"4","2010","WD","Normal",11.9049675527463,2,0,-1954
"232","2 story 1946+","RL",174,15138,1,"None",2,"Lvl","Inside",2,"NoRidge","Norm","Norm","1Fam","2Story",8,5,1995,1996,"Gable","CompShg","VinylSd","VinylSd","BrkFace",506,4,3,"PConc",4,3,1,6,689,1,0,773,"GasA",5,1,"SBrkr",1490,1304,0,2794,1,0,2,1,4,1,5,9,7,1,3,"Attchd",3,3,3,3,2,0,146,202,0,0,0,0,"None","None",0,"7","2009","WD","Normal",12.9066918409288,3.5,1,-1992
"233","2 story PUD 1946+","RM",21,1680,1,"None",3,"Lvl","Inside",2,"BrDale","Norm","Norm","Twnhs","2Story",6,5,1972,1972,"Gable","CompShg","HdBoard","HdBoard","BrkFace",297,3,3,"CBlock",3,3,1,1,0,1,0,483,"GasA",3,1,"SBrkr",483,504,0,987,0,0,1,1,2,1,3,5,7,1,1,"Attchd",1,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,"6","2006","WD","Normal",11.4563551134818,1.5,0,-1971
"234","1 story 1946+","RL",75,10650,1,"None",3,"Lvl","Corner",2,"CollgCr","Norm","Norm","1Fam","1Story",5,6,1976,1976,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",3,4,3,2,182,5,712,0,"GasA",3,1,"SBrkr",894,0,0,894,1,0,1,0,3,1,3,5,7,0,0,"Attchd",1,1,3,3,2,365,0,0,0,0,0,0,"MnPrv","None",0,"2","2010","WD","Normal",11.7613468234687,2,0,-1971
"235","2 story 1946+","RL",66,7851,1,"None",3,"Lvl","Inside",2,"Gilbert","Norm","Norm","1Fam","2Story",6,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,6,625,1,0,235,"GasA",5,1,"SBrkr",860,1100,0,1960,1,0,2,1,4,1,4,8,7,2,3,"BuiltIn",3,2,3,3,2,288,48,0,0,0,0,0,"None","None",0,"5","2010","WD","Normal",12.2853458264247,3.5,0,-1997
"237","1 story 1946+","RL",65,8773,1,"None",3,"Lvl","FR2",2,"CollgCr","Norm","Norm","1Fam","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",98,4,3,"PConc",4,3,3,6,24,1,0,1390,"GasA",5,1,"SBrkr",1414,0,0,1414,0,0,2,0,3,1,4,6,7,0,0,"Attchd",2,2,3,3,2,132,105,0,0,0,0,0,"None","None",0,"5","2010","WD","Normal",12.1308101610296,2,0,-1999
"238","2 story 1946+","RL",75,9453,1,"None",2,"Lvl","CulDSac",2,"SawyerW","RRNe","Norm","1Fam","2Story",7,7,1993,2003,"Gable","CompShg","HdBoard","HdBoard","None",0,4,3,"PConc",4,3,1,4,402,1,0,594,"GasA",5,1,"SBrkr",1014,730,0,1744,0,0,2,1,3,1,4,7,7,0,0,"Attchd",2,2,3,3,2,370,70,0,238,0,0,0,"None","None",0,"2","2010","WD","Normal",12.1781874420406,2.5,1,-1998
"239","1 story 1946+","RL",93,12030,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Hip","CompShg","VinylSd","VinylSd","BrkFace",254,5,3,"PConc",5,3,1,1,0,1,0,1694,"GasA",5,1,"SBrkr",1694,0,0,1694,0,0,2,0,3,1,4,7,7,0,0,"Attchd",3,3,3,3,2,168,228,0,0,0,0,0,"None","None",0,"12","2007","New","Partial",12.6698066617623,2,0,-2005
"240","1,5 story fin","RL",52,8741,1,"None",3,"Lvl","Inside",2,"Edwards","Norm","Norm","1Fam","1.5Fin",6,4,1945,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"CBlock",3,2,1,2,94,1,0,641,"GasA",3,1,"FuseA",798,689,0,1487,0,0,1,1,3,1,3,7,7,1,4,"Detchd",1,1,3,3,2,0,140,0,0,0,0,0,"MnPrv","None",0,"4","2010","WD","Normal",11.6351430976945,1.5,1,-1945
"241","1 story 1946+","FV",75,9000,1,"None",3,"Lvl","Inside",2,"Somerst","Norm","Norm","1Fam","1Story",8,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",36,4,3,"PConc",4,3,3,6,1078,1,0,488,"GasA",5,1,"SBrkr",1566,0,0,1566,1,0,2,0,3,1,4,7,7,0,0,"Attchd",2,2,3,3,2,144,168,0,0,0,0,0,"None","None",0,"4","2010","WD","Normal",12.4780063610138,3,0,-2003
"242","1 story 1945-","RM",40,3880,1,"None",3,"Lvl","Inside",2,"OldTown","Norm","Norm","1Fam","1Story",5,9,1945,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,3,4,"CBlock",3,3,1,5,329,1,0,357,"GasA",4,1,"SBrkr",866,0,0,866,0,0,1,0,2,1,4,4,7,0,0,"None",0,0,0,0,2,58,42,0,0,0,0,0,"None","None",0,"8","2007","WD","Normal",11.6127707999399,1,1,-1995
"243","1,5 story fin","RM",63,5000,1,"None",3,"Lvl","Corner",2,"OldTown","Norm","Norm","1Fam","1.5Fin",5,4,1900,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"BrkTil",3,3,1,1,0,1,0,540,"GasA",4,0,"FuseA",889,551,0,1440,0,0,1,0,3,1,3,6,7,0,0,"Attchd",1,1,2,3,2,0,0,77,0,0,0,0,"None","None",0,"4","2006","WD","Normal",11.2772031314492,1,1,-1949
"245","2 story 1946+","RL",66,8880,1,"None",2,"Lvl","Inside",2,"SawyerW","Norm","Norm","1Fam","2Story",7,5,1994,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,6,695,1,0,253,"GasA",5,1,"SBrkr",1222,888,0,2110,1,0,2,1,3,1,4,8,7,2,2,"Attchd",2,2,3,3,2,0,130,0,0,0,0,0,"None","None",0,"5","2010","WD","Normal",12.2307652581205,3.5,1,-1997
"246","1 story 1946+","RL",80,10400,1,"None",3,"Lvl","Inside",2,"NWAmes","Norm","Norm","1Fam","1Story",7,5,1988,1988,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",102,3,3,"CBlock",4,3,3,6,929,1,0,916,"GasA",4,1,"SBrkr",1872,0,0,1872,0,1,2,0,3,1,3,6,7,1,3,"Attchd",3,2,3,3,2,197,39,0,0,0,0,0,"None","None",0,"6","2006","WD","Normal",12.3946247520748,2.5,0,-1987
"247","2 family conversion","RM",69,9142,1,"Grvl",3,"Lvl","Inside",2,"OldTown","Norm","Norm","2fmCon","2Story",6,8,1910,1950,"Gable","CompShg","AsbShng","AsbShng","None",0,3,2,"Stone",2,3,1,1,0,1,0,1020,"GasA",4,0,"FuseP",908,1020,0,1928,0,0,2,0,4,2,2,9,7,0,0,"Detchd",1,1,1,1,2,0,60,112,0,0,0,0,"None","None",0,"4","2006","WD","Normal",11.8277362048103,2,1,-1949
"248","1 story 1946+","RL",75,11310,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",6,5,1954,1954,"Hip","CompShg","Wd Sdng","BrkFace","None",0,3,3,"CBlock",3,3,1,1,0,1,0,1367,"GasA",5,1,"SBrkr",1375,0,0,1375,0,0,1,0,2,1,3,5,7,1,3,"Attchd",1,2,3,3,2,0,30,0,0,0,0,0,"None","None",0,"6","2006","WD","Normal",11.8493977015914,1,0,-1953
"249","2 story 1946+","RL",72,11317,1,"None",3,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",101,4,3,"PConc",4,3,1,1,0,1,0,840,"GasA",5,1,"SBrkr",840,828,0,1668,0,0,2,1,3,1,4,8,7,0,0,"Attchd",2,2,3,3,2,144,68,0,0,0,0,0,"None","None",0,"9","2007","WD","Normal",12.1007121298723,2.5,0,-2001
"250","1,5 story fin","RL",62,159000,1,"None",1,"Low","CulDSac",0,"ClearCr","Norm","Norm","1Fam","1.5Fin",6,7,1958,2006,"Gable","CompShg","Wd Sdng","HdBoard","BrkCmn",472,4,3,"CBlock",4,3,4,3,697,1,0,747,"GasA",4,1,"SBrkr",1444,700,0,2144,0,1,2,0,4,1,4,7,7,2,3,"Attchd",3,2,3,3,2,0,98,0,0,0,0,0,"None","Shed",500,"6","2007","WD","Normal",12.5317727851695,2.5,1,-2004
"251","1 story 1945-","RL",55,5350,1,"None",2,"Lvl","Inside",2,"BrkSide","Norm","Norm","1Fam","1Story",3,2,1940,1966,"Gable","CompShg","Wd Sdng","Plywood","None",0,3,1,"CBlock",3,3,1,1,0,1,0,728,"GasA",5,1,"SBrkr",1306,0,0,1306,0,0,1,0,3,1,2,6,4,0,0,"None",0,0,0,0,2,263,0,0,0,0,0,0,"GdWo","Shed",450,"5","2010","WD","Normal",11.2450460198146,1,1,-1961
"253","2 story 1946+","RL",65,8366,1,"None",2,"Lvl","Inside",2,"SawyerW","Norm","Norm","1Fam","2Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,1,0,1,0,798,"GasA",5,1,"SBrkr",798,842,0,1640,0,0,2,1,3,1,4,6,7,0,0,"Attchd",2,2,3,3,2,138,45,0,0,0,0,0,"None","None",0,"12","2008","WD","Normal",12.0610468734799,2.5,0,-2001
"254","split/multi level","RL",85,9350,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","SLvl",6,7,1964,1991,"Hip","CompShg","HdBoard","HdBoard","BrkFace",108,3,3,"CBlock",4,3,4,2,270,5,580,452,"GasA",5,1,"SBrkr",1302,0,0,1302,0,1,2,0,3,1,4,7,6,0,0,"Attchd",2,1,3,3,2,333,0,0,0,0,0,0,"MnPrv","None",0,"10","2007","CWD","Normal",11.9703503120091,2.5,1,-1989
"255","1 story 1946+","RL",70,8400,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1957,"Gable","CompShg","MetalSd","MetalSd","None",0,3,4,"CBlock",3,3,1,3,922,1,0,392,"GasA",3,1,"SBrkr",1314,0,0,1314,1,0,1,0,3,1,3,5,7,0,0,"Attchd",2,1,3,3,2,250,0,0,0,0,0,0,"None","None",0,"6","2010","WD","Normal",11.8844890214027,2,0,-1952
"256","2 story 1946+","RL",66,8738,1,"None",2,"Lvl","Inside",2,"Gilbert","Norm","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","BrkFace",302,4,3,"PConc",4,3,1,1,0,1,0,975,"GasA",5,1,"SBrkr",1005,1286,0,2291,0,0,2,1,4,1,4,8,7,1,3,"BuiltIn",3,2,3,3,2,192,0,0,0,0,0,0,"None","None",0,"2","2006","WD","Normal",12.3458345879053,2.5,0,-1998
"257","2 story 1946+","FV",64,8791,1,"None",2,"Lvl","Inside",2,"Somerst","Norm","Norm","1Fam","2Story",6,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,3,503,1,0,361,"GasA",5,1,"SBrkr",864,864,0,1728,0,0,2,1,3,1,4,7,7,0,0,"Attchd",2,2,3,3,2,216,56,0,0,0,0,0,"None","None",0,"5","2008","WD","Normal",12.2428866186529,2.5,0,-2000
"260","1 story 1946+","RM",70,12702,1,"None",3,"Lvl","Inside",2,"OldTown","Norm","Norm","1Fam","1Story",5,5,1956,1956,"Gable","CompShg","BrkFace","BrkFace","None",0,3,3,"PConc",0,0,0,0,0,0,0,0,"GasA",4,1,"FuseA",882,0,0,882,0,0,1,0,2,1,3,4,7,0,0,"Detchd",1,1,3,3,2,0,45,0,0,0,0,0,"None","None",0,"12","2008","WD","Normal",11.4824662574855,1,0,-1953
"261","split/multi level","RL",120,19296,1,"None",3,"Lvl","Corner",2,"NAmes","Artery","Norm","1Fam","SLvl",6,5,1962,1962,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",399,3,3,"CBlock",3,3,4,3,672,5,690,0,"GasA",3,1,"SBrkr",1382,0,0,1382,1,0,1,0,3,1,3,6,7,1,3,"Attchd",1,2,3,3,2,0,0,252,0,0,0,0,"GdWo","None",0,"5","2009","WD","Normal",12.0782392740203,2,0,-1958
"262","2 story 1946+","RL",69,9588,1,"None",2,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","2Story",8,5,2007,2007,"Gable","CompShg","CemntBd","CmentBd","Stone",270,4,3,"PConc",5,3,1,1,0,1,0,1482,"GasA",5,1,"SBrkr",1482,1092,0,2574,0,0,2,1,3,1,5,10,7,1,4,"BuiltIn",3,3,3,3,2,0,148,0,0,0,0,0,"None","None",0,"11","2007","New","Partial",12.5281561446993,2.5,0,-2005
"263","split/multi level","RL",88,8471,1,"None",2,"Lvl","Corner",2,"Sawyer","Norm","Norm","1Fam","SLvl",6,7,1977,1995,"Gable","CompShg","HdBoard","Plywood","BrkFace",46,3,3,"CBlock",4,4,3,5,506,1,0,0,"GasA",3,1,"SBrkr",1212,0,0,1212,1,0,1,0,3,1,3,6,7,1,3,"Attchd",1,2,3,3,2,292,12,0,0,0,0,0,"GdWo","None",0,"7","2006","WD","Normal",11.9250351157971,2,1,-1994
"264","1,5 story fin","RM",50,5500,1,"None",3,"Lvl","Corner",2,"OldTown","Norm","Norm","1Fam","1.5Fin",5,7,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"BrkTil",3,3,1,2,234,5,692,0,"GasA",3,1,"SBrkr",926,0,390,1316,1,0,1,0,3,1,3,6,7,0,0,"Detchd",1,2,3,3,2,0,0,0,0,0,0,0,"None","None",0,"4","2010","WD","Normal",11.7752897294377,2,1,-1996
"265","1 story 1945-","RM",30,5232,1,"Grvl",0,"Bnk","Inside",2,"OldTown","Artery","Norm","1Fam","1Story",5,5,1925,2004,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"BrkTil",2,3,1,1,0,1,0,680,"GasA",4,0,"FuseP",764,0,0,764,0,0,1,0,2,1,3,4,7,0,0,"Detchd",1,2,3,3,0,0,0,0,0,0,0,0,"None","None",0,"6","2008","WD","Normal",11.1982147201305,1,1,-2001
"267","2 story 1946+","RL",70,11207,1,"None",2,"HLS","FR2",2,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,3,6,714,1,0,88,"GasA",4,1,"SBrkr",802,709,0,1511,1,0,2,1,3,1,3,8,7,1,3,"Attchd",3,2,3,3,2,95,75,0,0,0,0,0,"None","None",0,"6","2006","WD","Normal",12.1281111040605,3.5,0,-1996
"268","2,5 story all ages","RL",60,8400,1,"None",3,"Bnk","Inside",1,"SWISU","Norm","Norm","1Fam","2.5Fin",5,8,1939,1997,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",3,3,1,2,378,1,0,342,"GasA",5,1,"SBrkr",1052,720,420,2192,0,0,2,1,4,1,4,8,7,1,4,"Detchd",1,1,3,3,2,262,24,0,0,0,0,0,"None","None",0,"7","2008","WD","Normal",12.0979304869105,2.5,1,-1994
"269","1 story 1945-","RM",71,6900,1,"None",3,"Lvl","Inside",2,"IDOTRR","Norm","Norm","1Fam","1Story",5,6,1940,1955,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"CBlock",3,3,1,5,403,3,125,212,"GasA",5,1,"SBrkr",778,0,0,778,0,0,1,0,2,1,3,4,7,1,4,"Detchd",3,1,5,5,2,0,25,0,0,0,0,0,"None","None",0,"2","2008","WD","Normal",11.6994050319128,1,1,-1952
"270","1 story 1946+","RL",66,7917,1,"None",2,"Lvl","Corner",2,"Edwards","Norm","Norm","1Fam","1Story",6,7,1976,1976,"Hip","CompShg","HdBoard","HdBoard","BrkFace",174,3,4,"CBlock",3,4,1,4,751,1,0,392,"GasA",3,1,"SBrkr",1113,0,0,1113,1,0,1,1,3,1,3,6,7,1,2,"Attchd",2,1,3,4,2,370,30,0,0,0,0,0,"GdPrv","None",0,"5","2007","WD","Normal",11.9049675527463,2.5,0,-1974
"271","2 story 1946+","FV",84,10728,1,"None",3,"Lvl","Inside",2,"Somerst","Norm","Norm","1Fam","2Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,2,1,0,1,0,1095,"GasA",4,1,"SBrkr",1095,844,0,1939,0,0,2,1,3,1,4,8,7,1,4,"Attchd",2,3,3,3,2,192,51,0,0,0,0,0,"None","None",0,"8","2006","New","Partial",12.4912515877638,2.5,0,-2005
"272","1 story 1946+","RL",73,39104,1,"None",2,"Low","CulDSac",0,"ClearCr","Norm","Norm","1Fam","1Story",7,7,1954,2005,"Flat","Membran","Plywood","Plywood","None",0,3,3,"CBlock",4,3,4,2,226,6,1063,96,"GasA",5,1,"SBrkr",1363,0,0,1363,1,0,1,0,2,1,3,5,4,2,3,"Attchd",1,2,3,3,2,81,0,0,0,0,0,0,"None","None",0,"4","2008","WD","Normal",12.3946247520748,2,1,-2002
"273","2 story 1946+","RL",92,11764,1,"None",2,"Lvl","CulDSac",2,"NoRidge","Norm","Norm","1Fam","2Story",8,7,1999,2007,"Gable","CompShg","VinylSd","VinylSd","BrkFace",348,4,3,"PConc",4,3,1,6,524,1,0,628,"GasA",5,1,"SBrkr",1164,1106,0,2270,0,0,2,1,4,1,4,9,7,1,4,"Attchd",3,3,3,3,2,132,57,0,0,0,0,0,"None","None",0,"4","2010","WD","Normal",12.5776362019627,2.5,1,-2002
"274","1 story 1946+","RL",80,9600,1,"None",3,"Lvl","Inside",2,"NAmes","Feedr","Norm","1Fam","1Story",6,6,1958,1988,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkCmn",183,3,3,"CBlock",3,3,1,3,620,2,620,0,"GasA",4,1,"SBrkr",1632,0,0,1632,1,0,2,0,3,1,3,6,6,1,4,"Attchd",2,1,3,3,2,289,0,0,0,0,0,0,"MnPrv","None",0,"4","2009","WD","Normal",11.8422292121128,3,1,-1984
"275","1 story 1946+","RL",76,8314,1,"None",3,"Lvl","Corner",2,"Mitchel","Norm","Norm","1Fam","1Story",5,7,1982,1982,"Gable","CompShg","HdBoard","ImStucc","None",0,3,3,"CBlock",3,3,4,5,546,1,0,270,"GasA",3,1,"SBrkr",816,0,0,816,0,0,1,0,2,1,3,5,7,0,0,"Attchd",1,1,3,3,2,168,0,0,0,0,0,0,"None","None",0,"6","2007","WD","Normal",11.7320609948869,1,0,-1980
"276","1,5 story fin","RL",55,7264,1,"None",3,"Lvl","Inside",2,"BrkSide","Norm","Norm","1Fam","1.5Fin",7,7,1925,2007,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,4,4,"BrkTil",3,3,1,1,0,1,0,952,"GasW",4,0,"SBrkr",952,596,0,1548,0,0,2,1,3,1,5,5,7,0,0,"Detchd",1,2,3,3,2,74,0,0,0,144,0,0,"None","None",0,"10","2009","WD","Normal",12.2307652581205,2.5,1,-2003
"278","1 story 1946+","RL",140,19138,1,"None",3,"Lvl","Corner",2,"Gilbert","Norm","Norm","1Fam","1Story",4,5,1951,1951,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"CBlock",3,3,1,2,120,1,0,744,"GasA",5,1,"SBrkr",864,0,0,864,0,0,1,0,2,1,3,4,7,0,0,"Detchd",1,2,3,3,2,0,0,0,0,0,0,0,"None","None",0,"6","2010","WD","Normal",11.8565151693603,1,0,-1946
"279","1 story 1946+","RL",107,14450,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","1Story",9,5,2006,2007,"Gable","CompShg","CemntBd","CmentBd","BrkFace",315,5,3,"PConc",5,3,4,1,0,1,0,2121,"GasA",5,1,"SBrkr",2121,0,0,2121,0,0,2,1,3,1,5,8,7,1,5,"Attchd",3,3,3,3,2,124,98,0,0,142,0,0,"None","None",0,"5","2007","New","Partial",12.9367516138114,2.5,1,-2005
"281","2 story 1946+","RL",82,11287,1,"None",3,"Lvl","Inside",2,"SawyerW","Norm","Norm","1Fam","2Story",7,6,1989,1989,"Gable","CompShg","Plywood","Plywood","BrkFace",340,4,3,"CBlock",4,3,3,6,421,1,0,386,"GasA",4,1,"SBrkr",1175,807,0,1982,0,0,2,1,3,1,4,7,7,1,3,"Attchd",3,2,3,3,2,0,84,0,196,0,0,0,"None","None",0,"1","2007","WD","Normal",12.3392914893164,2.5,0,-1987
"283","1 story PUD 1946+","RL",34,5063,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","Twnhs","1Story",7,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",166,4,3,"PConc",4,3,1,6,904,1,0,410,"GasA",5,1,"SBrkr",1314,0,0,1314,1,0,2,0,2,1,4,6,7,1,4,"Attchd",2,2,3,3,2,172,62,0,0,0,0,0,"None","None",0,"4","2009","ConLw","Normal",12.2428866186529,3,1,-2004
"284","1 story 1946+","RL",74,9612,1,"None",3,"Lvl","Inside",2,"Somerst","Feedr","Norm","1Fam","1Story",8,5,2008,2009,"Gable","CompShg","VinylSd","VinylSd","Stone",72,4,3,"PConc",4,3,1,1,0,1,0,1468,"GasA",5,1,"SBrkr",1468,0,0,1468,0,0,2,0,3,1,4,6,7,1,4,"Attchd",3,3,3,3,2,210,150,0,0,0,0,0,"None","None",0,"12","2009","New","Partial",12.4073795022352,2,1,-2005
"285","1 story PUD 1946+","RL",50,8012,1,"None",3,"Lvl","Inside",2,"SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1992,1992,"Gable","CompShg","Plywood","ImStucc","None",0,4,3,"PConc",4,3,1,6,430,1,0,1145,"GasA",4,1,"SBrkr",1575,0,0,1575,1,0,2,0,2,1,4,5,7,0,0,"Attchd",2,2,3,3,2,0,0,52,0,0,0,0,"None","None",0,"7","2007","WD","Normal",12.096257779523,3,0,-1990
"286","2 story PUD 1946+","FV",35,4251,1,"Pave",2,"Lvl","Inside",2,"Somerst","Norm","Norm","TwnhsE","2Story",7,5,2006,2007,"Gable","CompShg","MetalSd","MetalSd","None",0,4,3,"PConc",4,3,1,1,0,1,0,625,"GasA",5,1,"SBrkr",625,625,0,1250,0,0,2,1,2,1,4,5,7,0,0,"Detchd",2,2,3,3,2,0,54,0,0,0,0,0,"None","None",0,"6","2007","New","Partial",12.0118809161657,2.5,1,-2005
"287","1,5 story fin","RL",77,9786,1,"None",2,"Bnk","Inside",2,"NAmes","Norm","Norm","1Fam","1.5Fin",6,7,1962,1981,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,1,3,600,1,0,312,"GasA",3,1,"SBrkr",1085,649,0,1734,0,0,1,1,3,1,4,7,7,1,4,"Attchd",2,2,3,3,2,0,0,0,0,128,0,0,"GdPrv","None",0,"6","2006","WD","Normal",11.9766594812024,1.5,1,-1980
